date,amount,category,subcategory,description,merchant,transaction_type,user_id
2024-01-01,4339.5,Salary,Salary,Monthly salary payment,Healthcare LLC,income,2
2024-01-02,35.91,Shopping,Personal Care,Retail shopping,Target,expense,2
2024-01-03,665.91,Travel,Vacation,Hotel stay,Expedia,expense,2
2024-01-03,25.95,Subscription,Subscription,Stock general treat court.,"Sanchez, Collins and Stout",expense,2
2024-01-03,43.42,Bank Fee,Bank Fee,Book language grow security imagine.,"Sanders, Jones and Armstrong",expense,2
2024-01-03,31.07,Subscription,Subscription,Material world side.,Salazar and Sons,expense,2
2024-01-04,53.43,Food & Dining,Coffee,Lunch,Starbucks,expense,2
2024-01-05,12.09,Entertainment,Movies,Subscription,PlayStation Store,expense,2
2024-01-05,144.39,Healthcare,Pharmacy,Doctor visit,Kaiser Permanente,expense,2
2024-01-05,22.14,Subscription,Subscription,Various air.,Spence Group,expense,2
2024-01-05,36.2,ATM Fee,ATM Fee,Month author right.,Peters LLC,expense,2
2024-01-06,1735.04,Housing,Rent,Rent payment,Property Manager,expense,2
2024-01-06,37.63,Shopping,Clothing,Personal items,Best Buy,expense,2
2024-01-07,49.92,Food & Dining,Groceries,Dinner,Chipotle,expense,2
2024-01-07,14.93,Transportation,Gas,Parking fee,Honda Finance,expense,2
2024-01-08,75.81,Transportation,Car Payment,Car payment,Lyft,expense,2
2024-01-09,45.11,Other,Other,Feel west mouth wish.,"Raymond, Nichols and Anderson",expense,2
2024-01-09,19.94,Other,Other,Compare former bag difficult.,Berry-Smith,expense,2
2024-01-10,20.18,Shopping,Electronics,Online purchase,Macys,expense,2
2024-01-15,4545.88,Salary,Salary,Monthly salary payment,Tech Corp,income,2
2024-01-15,762.6,Freelance,Freelance,Freelance project payment,Upwork,income,2
2024-01-15,171.65,Utilities,Water,Internet bill,Water Company,expense,2
2024-01-16,21.31,Shopping,Books,Personal items,Amazon,expense,2
2024-01-16,39.38,ATM Fee,ATM Fee,Success I take remain with.,Lyons-Ray,expense,2
2024-01-17,48.28,Shopping,Home Goods,Online purchase,Macys,expense,2
2024-01-17,18.63,Shopping,Clothing,Online purchase,CVS,expense,2
2024-01-18,1704.86,Housing,Maintenance,Rent payment,Home Depot,expense,2
2024-01-18,41.0,Subscription,Subscription,Opportunity store management community.,"Howell, Merritt and Perkins",expense,2
2024-01-19,19.94,Food & Dining,Restaurants,Dinner,DoorDash,expense,2
2024-01-19,30.05,Transportation,Uber/Lyft,Gas fill-up,Lyft,expense,2
2024-01-21,20.77,Bank Fee,Bank Fee,Difficult sound land.,Leach-Fitzgerald,expense,2
2024-01-21,46.72,Other,Other,Rate too little paper.,"Baker, Jones and Schmidt",expense,2
2024-01-23,13.42,Entertainment,Streaming,Subscription,Steam,expense,2
2024-01-24,1699.25,Housing,HOA Fees,Property maintenance,Bank of America,expense,2
2024-01-24,30.27,Entertainment,Music,Subscription,Netflix,expense,2
2024-01-24,24.73,Bank Fee,Bank Fee,Thing sign.,"Bowman, Mclaughlin and Moody",expense,2
2024-01-25,21.37,Entertainment,Streaming,Subscription,AMC Theaters,expense,2
