date,amount,category,subcategory,description,merchant,transaction_type,user_id
2024-01-01,1591.22,Salary,Salary,Monthly salary payment,Tech Corp,income,1
2024-01-01,1001.36,Freelance,Freelance,Freelance project payment,Upwork,income,1
2024-01-01,34.34,Bank Fee,Bank Fee,Summer discussion expect if.,"Perez, Austin and Campbell",expense,1
2024-01-02,14.91,Shopping,Personal Care,Personal items,Walgreens,expense,1
2024-01-03,10.82,Entertainment,Streaming,Movie tickets,Netflix,expense,1
2024-01-03,14.57,Shopping,Books,Retail shopping,CVS,expense,1
2024-01-03,9.27,ATM Fee,ATM Fee,Score dream indicate.,Jones-Green,expense,1
2024-01-04,7.21,Entertainment,Movies,Subscription,Netflix,expense,1
2024-01-05,4.91,Food & Dining,Restaurants,Lunch,McDonalds,expense,1
2024-01-05,37.86,Subscription,Subscription,Population space.,"Stewart, Stein and Castillo",expense,1
2024-01-06,9.04,Bank Fee,Bank Fee,Home why.,"Andrade, Decker and Young",expense,1
2024-01-08,10.55,Shopping,Clothing,Retail shopping,Walgreens,expense,1
2024-01-08,15.98,ATM Fee,ATM Fee,Expect music speech student check.,Schneider and Sons,expense,1
2024-01-11,88.0,Utilities,Electric,Electric bill,PG&E,expense,1
2024-01-11,7.61,Entertainment,Sports,Concert,Netflix,expense,1
2024-01-11,14.87,ATM Fee,ATM Fee,Sing our pick partner.,Cross-Rhodes,expense,1
2024-01-11,8.04,Other,Other,Student suffer author issue.,Hammond-Thomas,expense,1
2024-01-15,1708.6,Salary,Salary,Monthly salary payment,Finance Inc,income,1
2024-01-15,1500.04,Freelance,Freelance,Freelance project payment,Upwork,income,1
2024-01-15,30.2,Subscription,Subscription,Thing impact.,"Baldwin, Stewart and Watkins",expense,1
2024-01-16,44.44,Subscription,Subscription,Turn son remain name trade.,"Vasquez, Potts and Wolf",expense,1
2024-01-18,7.05,Entertainment,Movies,Subscription,Steam,expense,1
2024-01-20,43.14,Other,Other,Career now letter ever.,Garcia-Martinez,expense,1
2024-01-21,4.98,Food & Dining,Groceries,Lunch,Starbucks,expense,1
2024-01-23,5.19,Transportation,Public Transit,Gas fill-up,Uber,expense,1
2024-01-23,11.26,Other,Other,Final vote what.,Blair and Sons,expense,1
2024-01-24,17.52,Transportation,Public Transit,Car payment,Honda Finance,expense,1
2024-01-24,12.37,Shopping,Books,Personal items,Amazon,expense,1
2024-01-24,46.64,ATM Fee,ATM Fee,Model game role believe.,Bell-Rodriguez,expense,1
2024-01-24,43.52,ATM Fee,ATM Fee,Any visit defense choose.,Garcia PLC,expense,1
2024-01-26,22.25,Food & Dining,Groceries,Lunch,McDonalds,expense,1
2024-01-27,663.71,Housing,Property Tax,Property maintenance,Wells Fargo,expense,1
2024-01-27,6.71,Transportation,Parking,Gas fill-up,Lyft,expense,1
2024-01-27,5.07,Entertainment,Gaming,Subscription,Spotify,expense,1
2024-01-28,28.33,ATM Fee,ATM Fee,Someone future strategy control white.,"Chan, Johnson and Wright",expense,1
2024-01-29,18.38,Transportation,Parking,Car payment,Metro,expense,1
2024-01-29,3.86,Shopping,Home Goods,Retail shopping,Best Buy,expense,1
2024-01-29,33.42,Bank Fee,Bank Fee,Economy city above study treat.,King-Jenkins,expense,1
2024-01-30,4.37,Entertainment,Sports,Concert,AMC Theaters,expense,1
2024-01-31,64.14,Healthcare,Dental,Doctor visit,CVS Pharmacy,expense,1
2024-02-01,1681.28,Salary,Salary,Monthly salary payment,Healthcare LLC,income,1
2024-02-02,60.97,Healthcare,Pharmacy,Prescription,CVS Pharmacy,expense,1
2024-02-02,8.45,Other,Other,Close song it issue.,Mcclain-Gonzalez,expense,1
